Crop,Disease,Symptoms,Prevention,Image_URL,Pesticides
Rice (Paddy),Blast,Spindle-shaped brown spots on leaves,Use resistant varieties; apply fungicide,https://www.apsnet.org/publications/apsnetfeatures/PublishingImages/RiceBlast.jpg,"Tricyclazole, Carbendazim"
Rice (Paddy),Brown Spot,Brown lesions on leaves and grains,Use balanced fertilizers; avoid excess nitrogen,https://www.krishisandesh.com/img/rice-brown-spot.jpg,"Mancozeb, Propiconazole"
Rice (Paddy),Bacterial Leaf Blight,"Yellowing, wilting, and drying of leaves",Use resistant varieties; avoid waterlogging,https://www.agrifarming.in/Bacterial-Leaf-Blight-Rice.jpg,"Copper oxychloride, Streptomycin"
Wheat,Rust,Yellow/orange pustules on leaves,Use resistant varieties; apply fungicides,https://upload.wikimedia.org/wikipedia/commons/5/5b/Puccinia_triticina_1.jpg,"Propiconazole, Tebuconazole"
Wheat,Powdery Mildew,White powdery fungal growth on leaves,Apply sulfur-based fungicide,https://www.agric.wa.gov.au/sites/gateway/files/Powdery%20mildew%20of%20barley%202.jpg,"Sulfur, Myclobutanil"
Maize (Corn),Downy Mildew,White powdery growth on leaves,Use disease-free seeds; crop rotation,https://crop-protection-network.s3.amazonaws.com/articles/CentralPhoto_Low.jpg,"Metalaxyl, Mancozeb"
Maize (Corn),Turcicum Leaf Blight,Long grayish necrotic lesions,Resistant varieties; avoid monocropping,https://www.krishisandesh.com/img/corn-leaf-blight.jpg,"Mancozeb, Zineb"
Barley,Leaf Rust,Rusty orange pustules on leaves,Resistant varieties; fungicide application,https://www.krishisandesh.com/img/barley-leaf-rust.jpg,"Tebuconazole, Propiconazole"
Jowar (Sorghum),Anthracnose,Dark necrotic lesions on leaves and stalk,Crop rotation; use resistant varieties,https://www.agrifarming.in/jowar-anthracnose.jpg,"Chlorothalonil, Copper fungicides"
Arhar (Tur) / Pigeon Pea,Wilt,Yellowing and drying of leaves,Use disease-free seeds; crop rotation,https://www.krishisandesh.com/img/arhar-wilt.jpg,"Carbendazim, Copper oxychloride"
Moong (Green Gram),Yellow Mosaic Virus,"Yellow patches on leaves, stunted growth",Use virus-resistant varieties,https://www.krishisandesh.com/img/moong-yellow-mosaic.jpg,Imidacloprid (for vector control)
Groundnut (Peanut),Tikka Disease,Brown circular spots on leaves,Use resistant varieties; apply fungicide,https://www.krishisandesh.com/img/groundnut-tikka-disease.jpg,"Chlorothalonil, Carbendazim"
Soybean,Rust,Small reddish-brown pustules on leaves,Use resistant varieties; fungicide spray,https://www.krishisandesh.com/img/soybean-rust.jpg,"Propiconazole, Tebuconazole"
Sugarcane,Red Rot,"Reddish lesions inside stalk, wilting leaves",Disease-free setts; fungicide dip,https://www.krishisandesh.com/img/sugarcane-redrot.jpg,"Copper oxychloride, Carbendazim"
Cotton,Bacterial Blight,Water-soaked angular spots on leaves,Use resistant varieties; proper field sanitation,https://www.krishisandesh.com/img/cotton-bacterial-blight.jpg,"Streptomycin, Copper hydroxide"
Mango,Powdery Mildew,White powdery coating on young leaves,Sulfur spray; remove infected leaves,https://extension.psu.edu/sites/default/files/PowderyMildew-Mango.jpg,"Sulfur, Myclobutanil"
Banana,Panama Disease,"Yellowing leaves, wilting, root rot",Resistant cultivars; soil sterilization,https://www.bioversityinternational.org/panama-disease.jpg,"Carbendazim, Thiophanate-methyl"
